title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Близость,10.0,7.195,93326.0,Великобритания,2004.0,"(27000000, '$')","['Натали Портман', 'Джуд Лоу', 'Джулия Робертс', 'Клайв Оуэн', 'Ник Хоббс', 'Колин Стинтон', 'Бенхэм Стив', 'Элизабет Бауэр', 'Рене Коста', 'Рэй Донн']",/film/61324/,
Девушка из Дании,10.0,6.951,83939.0,Япония,2015.0,"(15000000, '$')","['Эдди Редмэйн', 'Алисия Викандер', 'Маттиас Шонартс', 'Бен Уишоу', 'Эмбер Хёрд', 'Себастьян Кох', 'Эмиральд Феннел', 'Адриан Шиллер', 'Генри Петтигрю', 'Туссе Сильберг']",/film/431148/,
Простые сложности,10.0,7.249,86209.0,США,2009.0,"(85000000, '$')","['Мэрил Стрип', 'Алек Болдуин', 'Стив Мартин', 'Джон Красински', 'Лейк Белл', 'Мэри Кэй Плэйс', 'Рита Уилсон', 'Александра Уэнтуорт', 'Хантер Пэрриш', 'Зои Казан']",/film/424037/,
Клуб «Завтрак»,10.0,8.01,84249.0,США,1985.0,"(1000000, '$')","['Эмилио Эстевес', 'Молли Рингуолд', 'Джадд Нельсон', 'Энтони Майкл Холл', 'Элли Шиди', 'Пол Глисон', 'Джон Капелос', 'Перри Кроуфорд', 'Мэри Кристиан', 'Рон Дин']",/film/21844/,
Чернобыль,10.0,4.795,88130.0,Россия,2020.0,"(689000000, '₽')",['Самвел Тадевосян'],/film/1249198/,
Земля кочевников,10.0,7.242,83729.0,Германия,2020.0,"(5000000, '$')","['Фрэнсис Макдорманд', 'Дэвид Стрэтэйрн', 'Гэй ДеФорест', 'Патриша Грайр', 'Линда Мэй', 'Анджела Рэйс', 'Карл Р. Хьюз', 'Дуглас Дж. Соул', 'Райан Аквино', 'Тереза Бьюкэнэн']",/film/1238506/,
Непрощенный,10.0,6.705,92179.0,Россия,2018.0,"(90000000, '₽')","['Марджан Аветисян', 'Себастьян Сисак']",/film/1045777/,
Лучшее во мне,10.0,7.237,90441.0,США,2014.0,"(26000000, '$')","['Мишель Монахэн', 'Джеймс Марсден', 'Люк Брейси', 'Лиана Либерато', 'Джералд Макрэйни', 'Кэролайн Гудолл', 'Кларк Питерс', 'Себастьян Арселус', 'Джон Тенни', 'Шон Бриджерс']",/film/596362/,
Джой,10.0,6.781,88070.0,США,2015.0,"(60000000, '$')","['Дженнифер Лоуренс', 'Роберт Де Ниро', 'Брэдли Купер', 'Эдгар Рамирес', 'Дайан Лэдд', 'Вирджиния Мэдсен', 'Изабелла Росселлини', 'Даша Поланко', 'Элизабет Рём', 'Сьюзэн Луччи']",/film/713051/,
Вызов,10.0,7.551,95687.0,Россия,2023.0,,"['Милош Бикович', 'Олег Новицкий', 'Антон Шкаплеров']",/film/4448519/,
Молодость,10.0,7.275,87338.0,Швейцария,2015.0,"(12300000, '€')","['Харви Кейтель', 'Майкл Кейн', 'Рэйчел Вайс', 'Пол Дано', 'The Retrosettes', 'Габриэлла Белисарио', 'Алекс МакКуин', 'Йен Кейр Аттард', 'Адам Джексон-Смит']",/film/807818/,
"Человек, который познал бесконечность",10.0,7.485,67023.0,Индия,2015.0,"(10000000, '$')","['Джереми Айронс', 'Дев Патель', 'Девика Бисе', 'Тоби Джонс', 'Стивен Фрай', 'Джереми Нортэм', 'Кевин МакНэлли', 'Малкольм Синклер', 'Рагувир Джоши', 'Дхритиман Чаттерджи']",/film/841613/,
Миссис Даутфайр,10.0,7.742,66062.0,США,1993.0,"(25000000, '$')","['Робин Уильямс', 'Салли Филд', 'Пирс Броснан', 'Харви Файерстин', 'Полли Холлидей', 'Лиза Якуб', 'Мэттью Лоуренс', 'Мара Уилсон', 'Роберт Проски', 'Энн Хейни']",/film/5939/,
А зори здесь тихие...,,,,Россия,2015.0,"(220000000, '₽')",,/film/840754/,
Рассказы,10.0,7.105,66653.0,Россия,2012.0,,,/film/656093/,
Человек на Луне,10.0,7.088,68779.0,Китай,2018.0,"(59000000, '$')","['Райан Гослинг', 'Клэр Фой', 'Джейсон Кларк', 'Кайл Чандлер', 'Кори Столл', 'Патрик Фьюджит', 'Кристофер Эбботт', 'Киран Хайндс', 'Оливия Хэмилтон', 'Пабло Шрайбер']",/film/463803/,
Оторва,10.0,7.039,65637.0,Франция,2008.0,"(20000000, '$')","['Эмма Робертс', 'Алекс Петтифер', 'Джорджия Кинг', 'Кимберли Никсон', 'Мэйси Престон', 'Линзи Коккер', 'Софи Ву', 'Наташа Ричардсон', 'Ширли Хендерсон', 'Айдан Куинн']",/film/311497/,
Вавилон,10.0,7.561,70900.0,Франция,2006.0,"(25000000, '$')","['Брэд Питт', 'Кейт Бланшетт', 'Гаэль Гарсиа Берналь', 'Кодзи Якусё', 'Ринко Кикути', 'Адриана Барраса', 'Эль Фаннинг', 'Нэйтан Гэмбл', 'Майкл Пенья', 'Клифтон Коллинз мл.']",/film/102125/,
